Index,Temperature,Humidity,Object(*C),CO2Analog(ppm),CO2PWM(ppm),Xbar_Humidity,Xbar_co2analog,SD_Humidity,SD_co2analog,isGood
141,36.9,32.45,35.93,850,823,33.74894736842106,826.9473684210526,1.233684160629103,20.0650987322391,0
142,32.87,29.84,32.03,831,784,23.523,798.4,3.277740075112745,11.74913210680508,0
143,33.87,21.13,32.91,765,739,22.1535,771.3,2.706063902073482,10.80496961685005,0
144,35.7,18.97,34.17,793,749,24.56684210526315,808.7368421052631,4.242723926416794,16.3168463155173,0
145,34.39,25.38,33.13,790,749,29.90631578947368,812.0,3.394945933993232,18.0246744461277,0
146,31.83,34.49,30.93,834,804,34.859,837.8,3.304585171832425,22.62183388722172,0
147,32.34,28.88,31.01,809,779,35.86149999999999,835.65,3.772144824757894,17.89817691392353,0
148,29.06,38.4,28.25,834,789,37.89210526315789,814.9473684210526,3.827596546350912,12.75614746879378,0
149,26.85,42.24,25.91,806,770,39.0135,812.35,4.194160445441423,14.36836803537549,0
150,30.41,34.41,29.31,859,824,37.34473684210526,826.5263157894736,2.409067058752672,17.85238365986966,0
151,28.12,38.71,27.11,834,804,29.235,876.9285714285714,9.906871546868565,32.37868312453613,0
152,39.26,21.35,38.19,868,833,18.51333333333333,888.5238095238095,2.289749622411462,35.00516968623212,0
153,43.88,17.58,43.21,868,838,12.83,957.6315789473684,2.874127887048713,31.93084633028728,0
154,47.08,16.59,45.39,959,922,15.27368421052632,943.6842105263158,2.578568100766855,22.88874694783673,0
155,44.68,16.11,43.51,931,897,17.695,890.05,3.166242169146932,30.71340355438871,0
156,37.68,26.12,36.55,831,789,28.2885,755.7,1.194096333061775,29.85597004567799,0
157,32.38,28.4,31.49,756,714,24.57105263157895,755.8947368421053,1.565825642119986,10.79040075891585,0
158,33.57,23.13,32.75,756,709,22.6985,756.8,0.922035933767169,17.37693571193846,0
159,34.66,23.12,33.73,790,744,24.402,771.3,2.427978583101588,19.20005482448313,0
160,33.63,26.14,32.17,759,724,29.179,781.35,2.216602188746978,18.67809017623534,0
161,30.56,34.3,29.51,818,774,32.532,786.15,2.491728632686026,16.29748123903943,0
162,30.54,34.59,29.59,815,779,33.50631578947368,786.2631578947369,2.73034635679618,18.39034198601465,0
163,29.01,36.04,28.19,768,739,34.82214285714285,787.7142857142857,2.161901508364369,11.47189590278763,0
164,27.97,38.46,27.11,768,735,35.84,802.0,3.285721635602545,15.46501427954939,0
165,28.15,38.51,27.29,790,750,38.451,798.85,2.432347577309235,14.93239149598863,0
166,29.67,34.46,28.19,809,774,39.32400000000001,797.85,3.472844124890934,10.14253679468697,0
167,26.45,42.76,25.47,834,789,42.64549999999998,808.0,2.557335115845563,14.68260696771595,0
168,26.21,43.94,25.13,809,769,44.29052631578947,846.8421052631579,3.041548351459994,21.51553226520252,0
169,28.35,40.28,27.29,834,785,45.89050000000001,832.9,3.059569070103965,15.52892038813557,0
170,26.84,49.85,26.03,840,805,45.72105263157894,852.0,2.527969968916303,15.88150566609546,0
171,29.88,43.54,28.97,834,804,40.08200000000001,848.3,1.751566516909333,13.78061185716711,0
172,31.35,38.0,30.47,856,819,35.23449999999999,842.6,1.487737508681166,21.83285790295275,0
173,33.67,32.18,32.71,809,784,30.78526315789474,822.6842105263158,1.89158771765077,13.75601941607523,0
174,35.05,28.64,34.13,784,749,27.8895,801.25,1.137330554181011,12.25979737103951,0
175,36.95,25.92,35.99,809,784,20.11842105263158,875.8421052631579,3.653116269643238,54.34689315242995,0
176,42.27,19.35,40.85,900,863,16.891,906.5,1.744552121681453,25.17203962628711,0
177,48.2,11.84,45.85,943,878,13.308,970.9,1.538829356840364,25.70664464583755,0
178,45.58,12.9,43.59,918,887,13.73315789473684,950.5263157894736,1.843649920467505,21.38111425495935,0
179,46.1,10.97,44.29,956,932,14.743,901.7,2.172442476980568,41.37644893312849,0
180,40.37,17.12,39.01,834,793,19.03421052631579,785.421052631579,2.441960314058879,22.92818689704803,0
181,34.58,25.26,33.51,718,694,23.7965,727.9,0.992632199865855,18.64318698754673,0
182,33.9,22.94,32.77,709,679,21.84,724.6315789473684,1.43626831290907,13.51628863555126,0
183,35.81,21.25,34.43,700,654,22.68380952380953,744.7619047619048,1.033380260071171,26.9979717051203,0
184,35.56,24.95,34.33,759,719,26.40578947368421,759.7894736842105,1.913906173798826,8.469415219012866,0
185,31.4,31.36,30.47,759,729,30.12736842105264,770.4736842105264,1.659246288413518,15.60757800647077,0
186,30.45,33.54,29.51,781,734,31.563,766.5,2.10492680207775,17.91353501802772,0
187,29.59,32.96,28.65,768,730,32.718,760.05,2.2860782323032,5.175600651640654,0
188,28.18,35.0,27.37,793,745,33.21842105263157,780.1578947368421,2.304409452327561,18.35532970706249,0
189,28.77,33.72,27.75,781,725,33.43526315789475,767.7894736842105,1.888960232570796,15.52266782400078,0
190,29.12,32.5,28.01,756,714,36.033,781.5,1.955580678334106,18.43195166294831,0
191,26.94,38.38,26.05,756,734,37.52849999999999,784.75,2.308413159681229,17.14911383317394,0
192,26.54,39.87,25.55,790,754,39.24263157894737,808.421052631579,2.977797176335522,14.29574835580955,0
193,26.39,40.16,25.53,840,800,40.10549999999999,820.95,2.576941220251556,16.03770228981827,0
194,27.29,39.15,26.29,831,780,41.36736842105262,836.1052631578947,1.364289974493297,19.20038985958967,0
195,27.8,41.77,27.11,840,800,39.9975,849.1,1.096592209385153,14.87810118048812,0
196,30.78,37.13,29.93,834,794,34.36263157894737,814.6842105263158,1.533731260341058,20.71782011157154,0
197,32.86,32.65,31.89,775,739,28.5645,786.3,2.369271429208388,11.41144393280618,0
198,34.81,24.24,33.69,731,694,23.65315789473684,752.2105263157895,1.457616214660006,15.74653029636272,0
199,36.76,24.04,35.75,775,734,22.1445,773.05,0.8782666841119802,11.36233389664938,0
200,37.52,22.3,36.57,781,744,20.15263157894737,824.7368421052631,3.51244587479892,50.16621495396097,0
201,47.92,11.65,45.37,915,878,13.1505,968.35,1.548746437063108,26.11971427263726,0
202,46.84,16.17,45.13,931,887,15.82526315789474,893.578947368421,1.778905307644916,23.74708353899878,0
203,44.94,18.59,43.41,906,877,16.40947368421052,845.8947368421053,1.425441349525006,48.78740130726158,0
204,40.17,16.45,38.87,790,749,17.4652380952381,761.9047619047619,1.206178341074068,17.24791222700522,0
205,38.35,17.21,37.19,759,724,19.93736842105263,751.1052631578947,1.33021235608481,12.52062625715443,0
206,37.0,20.48,35.91,731,694,22.04105263157895,748.0,1.485885051396948,17.36215552414056,0
207,35.61,21.78,34.45,743,694,23.0365,735.6,1.038786108372348,12.75435941984255,0
